Country_CEDS,iso,Country_GBD,location_id,Country_GCA
 Maldives       ,mdv,Maldives,14,Maldives
 Mali           ,mli,Mali,211,Mali
 Malta          ,mlt,Malta,88,Malta
 Martinique     ,mtq,,,Martinique
 Mauritania     ,mrt,Mauritania,212,Mauritania
 Mauritius      ,mus,Mauritius,183,Mauritius
 Mexico         ,mex,Mexico,130,Mexico
 Micronesia     ,fsm,Federated States of Micronesia,25,Micronesia (Federated States of)
 Moldova Rep. of,mda,Moldova,61,Moldova
 Monaco         ,NA,,,
 Mongolia       ,mng,Mongolia,38,Mongolia
 Montserrat (195,msr,,,Montserrat
 Morocco        ,mar,Morocco,148,Morocco
 Mozambique     ,moz,Mozambique,184,Mozambique
 Myanmar        ,mmr,Myanmar,15,Myanmar
 Namibia        ,nam,Namibia,195,Namibia
 Nauru          ,NA,,,Nauru
 Nepal          ,npl,Nepal,164,Nepal
 Netherlands    ,nld,Netherlands,89,Netherlands
 Netherlands Ant,ant,,,
 New Caledonia  ,ncl,,,New Caledonia
 New Zealand    ,nzl,New Zealand,72,New Zealand
 Nicaragua      ,nic,Nicaragua,131,Nicaragua
 Niger          ,ner,Niger,213,Niger
 Nigeria        ,nga,Nigeria,214,Nigeria
 Niue           ,niu,,,Niue
 Norway         ,nor,Norway,90,Norway
 Oman           ,omn,Oman,150,Oman
 Other Africa   ,NA,,,
 Other Asia     ,NA,,,
 Other Latin Ame,NA,,,
 Pacific Islands,NA,,,
 Pakistan       ,pak,Pakistan,165,Pakistan
 Panama         ,pan,Panama,132,Panama
 Panama Canal Zo,NA,,,
 Papua New Guine,png,Papua New Guinea,26,Papua New Guinea
 Paraguay       ,pry,Paraguay,136,Paraguay
 Peninsular Mala,NA,,,
 Peru           ,per,Peru,123,Peru
 Philippines    ,phl,Philippines,16,Philippines
 Poland         ,pol,Poland,51,Poland
 Portugal       ,prt,Portugal,91,Portugal
 Puerto Rico    ,pri,Puerto Rico,385,
 Qatar          ,qat,Qatar,151,Qatar
 Reunion        ,reu,,,Réunion
 Rhodesia-Nyasal,NA,,,
 Romania        ,rou,Romania,52,Romania
 Russian Federat,rus,Russian Federation,62,Russian Federation
 Rwanda-Urundi  ,rwa,Rwanda,185,Rwanda
 S. Africa: Cust,NA,,,
 Sabah          ,NA,,,
 Samoa          ,wsm,Samoa,27,Samoa
 Sao Tome & Prin,stp,Sao Tome and Principe,215,Sao Tome and Principe
 Sarawak        ,NA,,,
 Saudi Arabia   ,sau,Saudi Arabia,152,Saudi Arabia
 Senegal        ,sen,Senegal,216,Senegal
 Serbia and Mont,scg,Serbia,53,Serbia
 Seychelles     ,syc,Seychelles,186,Seychelles
 Sierra Leone   ,sle,Sierra Leone,217,Sierra Leone
 Singapore      ,sgp,Singapore,69,Singapore
 Slovak Republic,svk,Slovakia,54,Slovakia
 Slovenia       ,svn,Slovenia,55,Slovenia
 Solomon Islands,slb,Solomon Islands,28,Solomon Islands
 Somalia        ,som,Somalia,187,Somalia
 South Africa   ,zaf,South Africa,196,South Africa
 Spain          ,esp,Spain,92,Spain
 Sri Lanka      ,lka,Sri Lanka,17,Sri Lanka
 St. Helena     ,NA,,,Saint Helena
 St. Kitts-Nevis,kna,,,Saint Kitts and Nevis
 St. Lucia      ,lca,Saint Lucia,116,Saint Lucia
 St. Pierre & Mi,spm,,,Saint Pierre and Miquelon
 St. Vincent & G,vct,Saint Vincent and the Grenadines,117,Saint Vincent and the Grenadines
 Sudan          ,sdn,Sudan,522,Sudan
 Suriname       ,sur,Suriname,118,Suriname
 Swaziland      ,swz,Swaziland,197,Swaziland
 Sweden         ,swe,Sweden,93,Sweden
 Switzerland    ,che,Switzerland,94,Switzerland
 Syrian Arab Rep,syr,Syria,153,Syria
 Tajikistan     ,tjk,Tajikistan,39,Tajikistan
 Tanganyika     ,tza,,,
 Tanzania       ,tza,Tanzania,189,Tanzania
 Thailand       ,tha,Thailand,18,Thailand
 Togo           ,tgo,Togo,218,Togo
 Tonga          ,ton,Tonga,29,Tonga
 Trinidad & Toba,tto,Trinidad and Tobago,119,Trinidad and Tobago
 Tunisia        ,tun,Tunisia,154,Tunisia
 Turkey         ,tur,Turkey,155,Turkey
 Turkmenistan   ,tkm,Turkmenistan,40,Turkmenistan
 Turks & Caicos ,tca,,,Turks and Caicos Islands
 U.S. Virgin Isl,vir,"Virgin Islands, U.S.",422,
 Uganda         ,uga,Uganda,190,Uganda
 Ukraine        ,ukr,Ukraine,63,Ukraine
 United Arab Emi,are,United Arab Emirates,156,United Arab Emirates
 United Kingdom ,gbr,United Kingdom,95,United Kingdom
 United Korea   ,NA,,,
 Uruguay        ,ury,Uruguay,99,Uruguay
 USA            ,usa,United States,102,United States of America
 USSR (Former)  ,ussr,,,
 Uzbekistan     ,uzb,Uzbekistan,41,Uzbekistan
 Vanuatu        ,vut,Vanuatu,30,Vanuatu
 Venezuela      ,ven,Venezuela,133,Venezuela
 Vietnam        ,vnm,Vietnam,20,Vietnam
 Wake Island    ,NA,,,
 Western Sahara ,esh,,,Western Sahara
 Yemen          ,yem,Yemen,157,Yemen
 Yemen (Former) ,yem,,,
 Yugoslavia     ,yug,,,
 Zambia         ,zmb,Zambia,191,Zambia
 Zanzibar       ,tza,,,
 Zimbabwe       ,zwe,Zimbabwe,198,Zimbabwe
